ticket_id,resume,description,creation_date,departement
JIRA-0105,Souris sans fil qui ne répond plus,La souris Bluetooth se déconnecte régulièrement. Nécessite un redémarrage du PC.,2025-04-21 11:22:18,Marketing
JIRA-0309,Ordinateur portable très lent au démarrage,Mon PC met plus de 10 minutes à démarrer complètement. Performances dégradées.,2025-04-21 11:22:18,Direction
JIRA-0430,Impossible d'imprimer en recto-verso,L'option recto-verso n'apparaît plus dans les paramètres d'impression.,2025-04-21 11:22:18,Ressources Humaines
JIRA-0050,Accès refusé au dossier partagé Comptabilité,Message 'Vous n'avez pas les autorisations nécessaires' lors de l'accès au dossier \\COMPTA\Factures.,2025-04-22 11:22:18,Marketing
JIRA-0251,Accès refusé au dossier partagé Comptabilité,Message 'Vous n'avez pas les autorisations nécessaires' lors de l'accès au dossier \\COMPTA\Factures.,2025-04-22 11:22:18,Juridique
JIRA-0198,Impossibilité de se connecter au VPN,Le client VPN affiche une erreur 'Authentification échouée' alors que mes identifiants sont corrects.,2025-04-23 11:22:18,IT
JIRA-0474,Application mobile professionnelle qui crash,L'application mobile de gestion des sinistres se ferme automatiquement au démarrage.,2025-04-23 11:22:18,Comptabilité
JIRA-0047,Mot de passe expiré - demande de réinitialisation,Mon mot de passe Active Directory a expiré et je n'arrive pas à le réinitialiser via le portail self-service.,2025-04-24 11:22:18,Sinistres
JIRA-0058,Logiciel de gestion commerciale qui freeze,L'application CRM se fige régulièrement et nécessite un redémarrage forcé.,2025-04-24 11:22:18,Juridique
JIRA-0236,Impossible d'imprimer en recto-verso,L'option recto-verso n'apparaît plus dans les paramètres d'impression.,2025-04-24 11:22:18,Commercial
JIRA-0480,Problème de son lors des visioconférences,Les participants n'entendent pas ma voix lors des appels Teams. Le micro semble ne pas fonctionner.,2025-04-24 11:22:18,Sinistres
JIRA-0051,Lenteur importante sur l'application métier,L'application de souscription est extrêmement lente depuis 2 jours. Les temps de chargement dépassent 30 secondes.,2025-04-25 11:22:18,Service Client
JIRA-0258,Demande d'installation de logiciel,Besoin d'installer Adobe Acrobat Pro pour la signature électronique des contrats.,2025-04-25 11:22:18,Service Client
JIRA-0383,Erreur lors de l'ouverture de fichiers PDF,Adobe Reader affiche 'Le fichier est endommagé' pour tous les PDFs reçus aujourd'hui.,2025-04-25 11:22:18,Souscription
JIRA-0387,Demande de transfert de poste téléphonique,Changement de bureau. Besoin de transférer mon numéro de poste vers le bureau 3.12.,2025-04-25 11:22:18,Recouvrement
JIRA-0497,Problème de synchronisation OneDrive,OneDrive indique 'Synchronisation en attente' depuis 48h. Les fichiers ne se synchronisent plus.,2025-04-25 11:22:18,Juridique
JIRA-0086,Problème de webcam pour les visioconférences,Ma webcam n'est pas détectée par Teams. Impossible de participer aux réunions vidéo.,2025-04-26 11:22:18,Ressources Humaines
JIRA-0240,Badge d'accès désactivé,Mon badge ne fonctionne plus pour accéder au bâtiment. Refusé à tous les lecteurs.,2025-04-26 11:22:18,Commercial
JIRA-0370,Problème de son lors des visioconférences,Les participants n'entendent pas ma voix lors des appels Teams. Le micro semble ne pas fonctionner.,2025-04-26 11:22:18,Recouvrement
JIRA-0481,Ordinateur portable très lent au démarrage,Mon PC met plus de 10 minutes à démarrer complètement. Performances dégradées.,2025-04-26 11:22:18,Souscription
JIRA-0120,Problème de messagerie instantanée,Teams indique 'Hors ligne' en permanence alors que j'ai une connexion internet.,2025-04-27 11:22:18,Souscription
JIRA-0281,Problème de synchronisation OneDrive,OneDrive indique 'Synchronisation en attente' depuis 48h. Les fichiers ne se synchronisent plus.,2025-04-27 11:22:18,Juridique
JIRA-0300,Demande de transfert de poste téléphonique,Changement de bureau. Besoin de transférer mon numéro de poste vers le bureau 3.12.,2025-04-27 11:22:18,Service Client
JIRA-0413,Ordinateur portable très lent au démarrage,Mon PC met plus de 10 minutes à démarrer complètement. Performances dégradées.,2025-04-27 11:22:18,Ressources Humaines
JIRA-0426,Ordinateur portable très lent au démarrage,Mon PC met plus de 10 minutes à démarrer complètement. Performances dégradées.,2025-04-27 11:22:18,IT
JIRA-0304,Lenteur importante sur l'application métier,L'application de souscription est extrêmement lente depuis 2 jours. Les temps de chargement dépassent 30 secondes.,2025-04-28 11:22:18,Ressources Humaines
JIRA-0414,Écran qui scintille - problème matériel,Mon écran Dell présente des scintillements constants. Cela devient difficile de travailler.,2025-04-28 11:22:18,Comptabilité
JIRA-0138,Application de tarification qui ne se lance pas,Message d'erreur 'DLL manquante' au lancement de l'outil de calcul des primes.,2025-04-29 11:22:18,Sinistres
JIRA-0361,Application de tarification qui ne se lance pas,Message d'erreur 'DLL manquante' au lancement de l'outil de calcul des primes.,2025-04-29 11:22:18,Comptabilité
JIRA-0427,Demande de suppression de compte utilisateur,Collaborateur parti. Besoin de désactiver son compte et transférer ses données.,2025-04-29 11:22:18,IT
JIRA-0111,Disque dur externe non reconnu,Le disque dur USB de sauvegarde n'est plus détecté par Windows.,2025-04-30 11:22:18,Marketing
JIRA-0243,Accès bloqué à l'application de gestion des sinistres,Message d'erreur 'Accès refusé' lors de la tentative de connexion à SINISTRA. Besoin d'un accès urgent.,2025-04-30 11:22:18,Commercial
JIRA-0057,Badge d'accès désactivé,Mon badge ne fonctionne plus pour accéder au bâtiment. Refusé à tous les lecteurs.,2025-05-01 11:22:18,Recouvrement
JIRA-0100,Problème de synchronisation OneDrive,OneDrive indique 'Synchronisation en attente' depuis 48h. Les fichiers ne se synchronisent plus.,2025-05-01 11:22:18,Souscription
JIRA-0316,Scanner qui ne fonctionne plus,Le scanner du service courrier ne numérise plus les documents. Voyant rouge allumé.,2025-05-01 11:22:18,Service Client
JIRA-0362,Problème de certification électronique,Ma signature électronique a expiré. Besoin de renouveler le certificat.,2025-05-01 11:22:18,Service Client
JIRA-0255,Demande de changement de mot de passe messagerie,Suspicion de compromission du compte email. Demande de réinitialisation immédiate.,2025-05-02 11:22:18,Service Client
JIRA-0299,Impossible d'imprimer en recto-verso,L'option recto-verso n'apparaît plus dans les paramètres d'impression.,2025-05-02 11:22:18,Service Client
JIRA-0074,Demande d'augmentation de droits sur application,Besoin d'obtenir les droits administrateur sur l'application de tarification pour valider les devis.,2025-05-03 11:22:18,Ressources Humaines
JIRA-0116,Accès refusé au dossier partagé Comptabilité,Message 'Vous n'avez pas les autorisations nécessaires' lors de l'accès au dossier \\COMPTA\Factures.,2025-05-03 11:22:18,Ressources Humaines
JIRA-0319,Application de tarification qui ne se lance pas,Message d'erreur 'DLL manquante' au lancement de l'outil de calcul des primes.,2025-05-03 11:22:18,Recouvrement
JIRA-0090,Écran qui scintille - problème matériel,Mon écran Dell présente des scintillements constants. Cela devient difficile de travailler.,2025-05-04 11:22:18,Direction
JIRA-0001,Demande de licence Office supplémentaire,Besoin d'une licence Microsoft Office pour le nouveau stagiaire du service comptabilité.,2025-05-05 11:22:18,Sinistres
JIRA-0011,Demande de suppression de compte utilisateur,Collaborateur parti. Besoin de désactiver son compte et transférer ses données.,2025-05-05 11:22:18,Recouvrement
JIRA-0075,Demande de changement de mot de passe messagerie,Suspicion de compromission du compte email. Demande de réinitialisation immédiate.,2025-05-05 11:22:18,Sinistres
JIRA-0342,Problème de son lors des visioconférences,Les participants n'entendent pas ma voix lors des appels Teams. Le micro semble ne pas fonctionner.,2025-05-05 11:22:18,Marketing
JIRA-0396,Clavier défectueux - touches qui ne répondent pas,"Plusieurs touches du clavier (E, R, T) ne fonctionnent plus correctement. Besoin d'un remplacement.",2025-05-05 11:22:18,Juridique
JIRA-0254,Impossibilité de se connecter au VPN,Le client VPN affiche une erreur 'Authentification échouée' alors que mes identifiants sont corrects.,2025-05-06 11:22:18,Juridique
JIRA-0135,Scanner qui ne fonctionne plus,Le scanner du service courrier ne numérise plus les documents. Voyant rouge allumé.,2025-05-07 11:22:18,Commercial
JIRA-0244,Imprimante du 3ème étage hors service,L'imprimante Canon du service sinistres affiche un message d'erreur et ne répond plus.,2025-05-07 11:22:18,Direction
JIRA-0349,Accès refusé au dossier partagé Comptabilité,Message 'Vous n'avez pas les autorisations nécessaires' lors de l'accès au dossier \\COMPTA\Factures.,2025-05-07 11:22:18,Actuariat
JIRA-0059,Problème de son lors des visioconférences,Les participants n'entendent pas ma voix lors des appels Teams. Le micro semble ne pas fonctionner.,2025-05-08 11:22:18,Direction
JIRA-0178,Demande d'augmentation de droits sur application,Besoin d'obtenir les droits administrateur sur l'application de tarification pour valider les devis.,2025-05-08 11:22:18,Souscription
JIRA-0343,Logiciel de gestion commerciale qui freeze,L'application CRM se fige régulièrement et nécessite un redémarrage forcé.,2025-05-08 11:22:18,Direction
JIRA-0159,Problème de connexion à l'intranet,Impossible d'accéder à l'intranet de l'entreprise. Page blanche lors du chargement.,2025-05-09 11:22:18,Commercial
JIRA-0185,Téléphone fixe sans tonalité,Mon poste téléphonique ne fonctionne plus. Pas de tonalité et impossible de passer/recevoir des appels.,2025-05-09 11:22:18,Direction
JIRA-0206,Demande de transfert de poste téléphonique,Changement de bureau. Besoin de transférer mon numéro de poste vers le bureau 3.12.,2025-05-09 11:22:18,Direction
JIRA-0216,Impossibilité de se connecter au VPN,Le client VPN affiche une erreur 'Authentification échouée' alors que mes identifiants sont corrects.,2025-05-09 11:22:18,Service Client
JIRA-0110,Problème d'accès au lecteur réseau partagé,Le lecteur Z: (serveur FILESERVER01) n'est plus accessible. Message 'Chemin réseau introuvable'.,2025-05-10 11:22:18,Actuariat
JIRA-0027,Demande de licence Office supplémentaire,Besoin d'une licence Microsoft Office pour le nouveau stagiaire du service comptabilité.,2025-05-11 11:22:18,Ressources Humaines
JIRA-0069,Ordinateur portable très lent au démarrage,Mon PC met plus de 10 minutes à démarrer complètement. Performances dégradées.,2025-05-11 11:22:18,Commercial
JIRA-0324,Accès refusé au dossier partagé Comptabilité,Message 'Vous n'avez pas les autorisations nécessaires' lors de l'accès au dossier \\COMPTA\Factures.,2025-05-11 11:22:18,Service Client
JIRA-0151,Badge d'accès désactivé,Mon badge ne fonctionne plus pour accéder au bâtiment. Refusé à tous les lecteurs.,2025-05-13 11:22:18,Souscription
JIRA-0286,Erreur lors de l'ouverture de fichiers PDF,Adobe Reader affiche 'Le fichier est endommagé' pour tous les PDFs reçus aujourd'hui.,2025-05-13 11:22:18,Ressources Humaines
JIRA-0459,Mot de passe expiré - demande de réinitialisation,Mon mot de passe Active Directory a expiré et je n'arrive pas à le réinitialiser via le portail self-service.,2025-05-13 11:22:18,Ressources Humaines
JIRA-0112,Problème de partage d'écran sur Teams,Impossible de partager mon écran lors des réunions. Option grisée dans Teams.,2025-05-14 11:22:18,Comptabilité
JIRA-0215,Téléphone fixe sans tonalité,Mon poste téléphonique ne fonctionne plus. Pas de tonalité et impossible de passer/recevoir des appels.,2025-05-14 11:22:18,Comptabilité
JIRA-0280,Problème de messagerie instantanée,Teams indique 'Hors ligne' en permanence alors que j'ai une connexion internet.,2025-05-14 11:22:18,Comptabilité
JIRA-0314,Erreur lors de l'ouverture de fichiers PDF,Adobe Reader affiche 'Le fichier est endommagé' pour tous les PDFs reçus aujourd'hui.,2025-05-14 11:22:18,Marketing
JIRA-0420,Problème d'affichage de caractères spéciaux,Les accents et caractères spéciaux s'affichent mal dans certaines applications.,2025-05-14 11:22:18,Sinistres
JIRA-0451,Application de tarification qui ne se lance pas,Message d'erreur 'DLL manquante' au lancement de l'outil de calcul des primes.,2025-05-14 11:22:18,Sinistres
JIRA-0065,Imprimante du 3ème étage hors service,L'imprimante Canon du service sinistres affiche un message d'erreur et ne répond plus.,2025-05-15 11:22:18,Souscription
JIRA-0168,Problème de synchronisation OneDrive,OneDrive indique 'Synchronisation en attente' depuis 48h. Les fichiers ne se synchronisent plus.,2025-05-15 11:22:18,Ressources Humaines
JIRA-0323,Problème de webcam pour les visioconférences,Ma webcam n'est pas détectée par Teams. Impossible de participer aux réunions vidéo.,2025-05-15 11:22:18,Ressources Humaines
JIRA-0485,Problème d'envoi d'emails avec pièces jointes,Impossible d'envoyer des emails avec des pièces jointes supérieures à 5 Mo. Message d'erreur systématique.,2025-05-15 11:22:18,Actuariat
JIRA-0048,Demande de transfert de poste téléphonique,Changement de bureau. Besoin de transférer mon numéro de poste vers le bureau 3.12.,2025-05-16 11:22:18,IT
JIRA-0256,Logiciel de gestion commerciale qui freeze,L'application CRM se fige régulièrement et nécessite un redémarrage forcé.,2025-05-16 11:22:18,IT
JIRA-0262,Clavier défectueux - touches qui ne répondent pas,"Plusieurs touches du clavier (E, R, T) ne fonctionnent plus correctement. Besoin d'un remplacement.",2025-05-16 11:22:18,Marketing
JIRA-0377,Problème d'envoi d'emails avec pièces jointes,Impossible d'envoyer des emails avec des pièces jointes supérieures à 5 Mo. Message d'erreur systématique.,2025-05-16 11:22:18,Commercial
JIRA-0083,Clavier défectueux - touches qui ne répondent pas,"Plusieurs touches du clavier (E, R, T) ne fonctionnent plus correctement. Besoin d'un remplacement.",2025-05-17 11:22:18,IT
JIRA-0235,Logiciel Excel qui plante régulièrement,Excel se ferme automatiquement toutes les heures avec un message d'erreur. Perte de données non sauvegardées.,2025-05-17 11:22:18,Comptabilité
JIRA-0239,Demande de licence Office supplémentaire,Besoin d'une licence Microsoft Office pour le nouveau stagiaire du service comptabilité.,2025-05-17 11:22:18,Juridique
JIRA-0373,Écran qui scintille - problème matériel,Mon écran Dell présente des scintillements constants. Cela devient difficile de travailler.,2025-05-17 11:22:18,Ressources Humaines
JIRA-0142,Erreur lors de l'ouverture de fichiers PDF,Adobe Reader affiche 'Le fichier est endommagé' pour tous les PDFs reçus aujourd'hui.,2025-05-18 11:22:18,IT
JIRA-0165,Scanner qui ne fonctionne plus,Le scanner du service courrier ne numérise plus les documents. Voyant rouge allumé.,2025-05-18 11:22:18,Service Client
JIRA-0283,Impossible d'imprimer en recto-verso,L'option recto-verso n'apparaît plus dans les paramètres d'impression.,2025-05-18 11:22:18,Commercial
JIRA-0369,Problème de certification électronique,Ma signature électronique a expiré. Besoin de renouveler le certificat.,2025-05-18 11:22:18,Direction
JIRA-0488,Application mobile professionnelle qui crash,L'application mobile de gestion des sinistres se ferme automatiquement au démarrage.,2025-05-18 11:22:18,Service Client
JIRA-0499,Écran qui scintille - problème matériel,Mon écran Dell présente des scintillements constants. Cela devient difficile de travailler.,2025-05-18 11:22:18,Juridique
JIRA-0008,Demande de transfert de poste téléphonique,Changement de bureau. Besoin de transférer mon numéro de poste vers le bureau 3.12.,2025-05-19 11:22:18,Marketing
JIRA-0068,Problème de messagerie instantanée,Teams indique 'Hors ligne' en permanence alors que j'ai une connexion internet.,2025-05-19 11:22:18,IT
JIRA-0166,Mot de passe expiré - demande de réinitialisation,Mon mot de passe Active Directory a expiré et je n'arrive pas à le réinitialiser via le portail self-service.,2025-05-19 11:22:18,Juridique
JIRA-0483,Problème de synchronisation OneDrive,OneDrive indique 'Synchronisation en attente' depuis 48h. Les fichiers ne se synchronisent plus.,2025-05-19 11:22:18,Juridique
JIRA-0040,Écran qui scintille - problème matériel,Mon écran Dell présente des scintillements constants. Cela devient difficile de travailler.,2025-05-20 11:22:18,IT
JIRA-0225,Problème de connexion à l'intranet,Impossible d'accéder à l'intranet de l'entreprise. Page blanche lors du chargement.,2025-05-20 11:22:18,Marketing
JIRA-0231,Erreur lors de l'ouverture de fichiers PDF,Adobe Reader affiche 'Le fichier est endommagé' pour tous les PDFs reçus aujourd'hui.,2025-05-20 11:22:18,Sinistres
JIRA-0389,Problème de connexion à l'intranet,Impossible d'accéder à l'intranet de l'entreprise. Page blanche lors du chargement.,2025-05-21 11:22:18,Actuariat
JIRA-0147,Disque dur externe non reconnu,Le disque dur USB de sauvegarde n'est plus détecté par Windows.,2025-05-22 11:22:18,Marketing
JIRA-0334,Demande d'augmentation de droits sur application,Besoin d'obtenir les droits administrateur sur l'application de tarification pour valider les devis.,2025-05-22 11:22:18,Recouvrement
JIRA-0392,Application de tarification qui ne se lance pas,Message d'erreur 'DLL manquante' au lancement de l'outil de calcul des primes.,2025-05-22 11:22:18,Juridique
JIRA-0439,Badge d'accès désactivé,Mon badge ne fonctionne plus pour accéder au bâtiment. Refusé à tous les lecteurs.,2025-05-22 11:22:18,Commercial
JIRA-0461,Accès refusé au dossier partagé Comptabilité,Message 'Vous n'avez pas les autorisations nécessaires' lors de l'accès au dossier \\COMPTA\Factures.,2025-05-22 11:22:18,Marketing
JIRA-0161,Scanner qui ne fonctionne plus,Le scanner du service courrier ne numérise plus les documents. Voyant rouge allumé.,2025-05-23 11:22:18,Actuariat
JIRA-0433,Lenteur importante sur l'application métier,L'application de souscription est extrêmement lente depuis 2 jours. Les temps de chargement dépassent 30 secondes.,2025-05-23 11:22:18,Souscription
JIRA-0127,Problème d'envoi d'emails avec pièces jointes,Impossible d'envoyer des emails avec des pièces jointes supérieures à 5 Mo. Message d'erreur systématique.,2025-05-24 11:22:18,Juridique
JIRA-0196,Impossible d'imprimer en recto-verso,L'option recto-verso n'apparaît plus dans les paramètres d'impression.,2025-05-24 11:22:18,Souscription
JIRA-0264,Logiciel de gestion commerciale qui freeze,L'application CRM se fige régulièrement et nécessite un redémarrage forcé.,2025-05-24 11:22:18,Service Client
JIRA-0460,Problème de partage d'écran sur Teams,Impossible de partager mon écran lors des réunions. Option grisée dans Teams.,2025-05-24 11:22:18,Ressources Humaines
JIRA-0490,Demande de suppression de compte utilisateur,Collaborateur parti. Besoin de désactiver son compte et transférer ses données.,2025-05-24 11:22:18,Service Client
JIRA-0015,Problème d'affichage de caractères spéciaux,Les accents et caractères spéciaux s'affichent mal dans certaines applications.,2025-05-25 11:22:18,Souscription
JIRA-0423,Problème de webcam pour les visioconférences,Ma webcam n'est pas détectée par Teams. Impossible de participer aux réunions vidéo.,2025-05-25 11:22:18,Souscription
JIRA-0465,Disque dur externe non reconnu,Le disque dur USB de sauvegarde n'est plus détecté par Windows.,2025-05-25 11:22:18,Comptabilité
JIRA-0241,Demande de licence Office supplémentaire,Besoin d'une licence Microsoft Office pour le nouveau stagiaire du service comptabilité.,2025-05-26 11:22:18,Direction
JIRA-0261,Problème de connexion à l'intranet,Impossible d'accéder à l'intranet de l'entreprise. Page blanche lors du chargement.,2025-05-26 11:22:18,Actuariat
JIRA-0419,Demande de licence Office supplémentaire,Besoin d'une licence Microsoft Office pour le nouveau stagiaire du service comptabilité.,2025-05-26 11:22:18,Service Client
JIRA-0421,Téléphone fixe sans tonalité,Mon poste téléphonique ne fonctionne plus. Pas de tonalité et impossible de passer/recevoir des appels.,2025-05-26 11:22:18,Juridique
JIRA-0477,Accès bloqué à l'application de gestion des sinistres,Message d'erreur 'Accès refusé' lors de la tentative de connexion à SINISTRA. Besoin d'un accès urgent.,2025-05-27 11:22:18,Sinistres
JIRA-0173,Badge d'accès désactivé,Mon badge ne fonctionne plus pour accéder au bâtiment. Refusé à tous les lecteurs.,2025-05-28 11:22:18,Comptabilité
JIRA-0191,Impossibilité de se connecter au VPN,Le client VPN affiche une erreur 'Authentification échouée' alors que mes identifiants sont corrects.,2025-05-28 11:22:18,Recouvrement
JIRA-0223,Écran qui scintille - problème matériel,Mon écran Dell présente des scintillements constants. Cela devient difficile de travailler.,2025-05-28 11:22:18,Commercial
JIRA-0230,Problème de partage d'écran sur Teams,Impossible de partager mon écran lors des réunions. Option grisée dans Teams.,2025-05-28 11:22:18,IT
JIRA-0278,Demande de suppression de compte utilisateur,Collaborateur parti. Besoin de désactiver son compte et transférer ses données.,2025-05-28 11:22:18,IT
JIRA-0326,Accès bloqué à l'application de gestion des sinistres,Message d'erreur 'Accès refusé' lors de la tentative de connexion à SINISTRA. Besoin d'un accès urgent.,2025-05-28 11:22:18,Recouvrement
JIRA-0010,Problème d'affichage de caractères spéciaux,Les accents et caractères spéciaux s'affichent mal dans certaines applications.,2025-05-29 11:22:18,Sinistres
JIRA-0144,Demande d'installation de logiciel,Besoin d'installer Adobe Acrobat Pro pour la signature électronique des contrats.,2025-05-29 11:22:18,Ressources Humaines
JIRA-0210,Problème de partage d'écran sur Teams,Impossible de partager mon écran lors des réunions. Option grisée dans Teams.,2025-05-29 11:22:18,Marketing
JIRA-0249,Demande de changement de mot de passe messagerie,Suspicion de compromission du compte email. Demande de réinitialisation immédiate.,2025-05-29 11:22:18,Service Client
JIRA-0268,Demande d'augmentation de droits sur application,Besoin d'obtenir les droits administrateur sur l'application de tarification pour valider les devis.,2025-05-29 11:22:18,Direction
JIRA-0348,Souris sans fil qui ne répond plus,La souris Bluetooth se déconnecte régulièrement. Nécessite un redémarrage du PC.,2025-05-29 11:22:18,Comptabilité
JIRA-0386,Problème de connexion à l'intranet,Impossible d'accéder à l'intranet de l'entreprise. Page blanche lors du chargement.,2025-05-29 11:22:18,Sinistres
JIRA-0003,Problème de partage d'écran sur Teams,Impossible de partager mon écran lors des réunions. Option grisée dans Teams.,2025-05-30 11:22:18,Comptabilité
JIRA-0064,Mot de passe expiré - demande de réinitialisation,Mon mot de passe Active Directory a expiré et je n'arrive pas à le réinitialiser via le portail self-service.,2025-05-30 11:22:18,Direction
JIRA-0160,Application de tarification qui ne se lance pas,Message d'erreur 'DLL manquante' au lancement de l'outil de calcul des primes.,2025-05-30 11:22:18,IT
JIRA-0190,Clavier défectueux - touches qui ne répondent pas,"Plusieurs touches du clavier (E, R, T) ne fonctionnent plus correctement. Besoin d'un remplacement.",2025-05-30 11:22:18,Direction
JIRA-0379,Accès refusé au dossier partagé Comptabilité,Message 'Vous n'avez pas les autorisations nécessaires' lors de l'accès au dossier \\COMPTA\Factures.,2025-05-30 11:22:18,Souscription
JIRA-0404,Erreur lors de l'ouverture de fichiers PDF,Adobe Reader affiche 'Le fichier est endommagé' pour tous les PDFs reçus aujourd'hui.,2025-05-30 11:22:18,Comptabilité
JIRA-0081,Problème de webcam pour les visioconférences,Ma webcam n'est pas détectée par Teams. Impossible de participer aux réunions vidéo.,2025-05-31 11:22:18,Marketing
JIRA-0312,Problème de messagerie instantanée,Teams indique 'Hors ligne' en permanence alors que j'ai une connexion internet.,2025-05-31 11:22:18,IT
JIRA-0035,Problème d'accès au lecteur réseau partagé,Le lecteur Z: (serveur FILESERVER01) n'est plus accessible. Message 'Chemin réseau introuvable'.,2025-06-01 11:22:18,Marketing
JIRA-0207,Problème d'affichage de caractères spéciaux,Les accents et caractères spéciaux s'affichent mal dans certaines applications.,2025-06-02 11:22:18,Marketing
JIRA-0285,Application de tarification qui ne se lance pas,Message d'erreur 'DLL manquante' au lancement de l'outil de calcul des primes.,2025-06-02 11:22:18,Service Client
JIRA-0337,Problème de son lors des visioconférences,Les participants n'entendent pas ma voix lors des appels Teams. Le micro semble ne pas fonctionner.,2025-06-02 11:22:18,IT
JIRA-0378,Lenteur importante sur l'application métier,L'application de souscription est extrêmement lente depuis 2 jours. Les temps de chargement dépassent 30 secondes.,2025-06-02 11:22:18,Sinistres
JIRA-0444,Accès refusé au dossier partagé Comptabilité,Message 'Vous n'avez pas les autorisations nécessaires' lors de l'accès au dossier \\COMPTA\Factures.,2025-06-02 11:22:18,Actuariat
JIRA-0148,Scanner qui ne fonctionne plus,Le scanner du service courrier ne numérise plus les documents. Voyant rouge allumé.,2025-06-03 11:22:18,Comptabilité
JIRA-0195,Impossible d'imprimer en recto-verso,L'option recto-verso n'apparaît plus dans les paramètres d'impression.,2025-06-03 11:22:18,Sinistres
JIRA-0328,Problème de synchronisation OneDrive,OneDrive indique 'Synchronisation en attente' depuis 48h. Les fichiers ne se synchronisent plus.,2025-06-03 11:22:18,Direction
JIRA-0471,Problème de certification électronique,Ma signature électronique a expiré. Besoin de renouveler le certificat.,2025-06-03 11:22:18,Sinistres
JIRA-0440,Erreur lors de l'ouverture de fichiers PDF,Adobe Reader affiche 'Le fichier est endommagé' pour tous les PDFs reçus aujourd'hui.,2025-06-04 11:22:18,Marketing
JIRA-0024,Lenteur importante sur l'application métier,L'application de souscription est extrêmement lente depuis 2 jours. Les temps de chargement dépassent 30 secondes.,2025-06-05 11:22:18,Recouvrement
JIRA-0042,Logiciel de gestion commerciale qui freeze,L'application CRM se fige régulièrement et nécessite un redémarrage forcé.,2025-06-05 11:22:18,Comptabilité
JIRA-0128,Problème de messagerie instantanée,Teams indique 'Hors ligne' en permanence alors que j'ai une connexion internet.,2025-06-05 11:22:18,Sinistres
JIRA-0167,Logiciel de gestion commerciale qui freeze,L'application CRM se fige régulièrement et nécessite un redémarrage forcé.,2025-06-05 11:22:18,Recouvrement
JIRA-0435,Demande de création de compte utilisateur,Nouveau collaborateur arrivé ce matin. Besoin de créer son compte AD et ses accès aux applications métier.,2025-06-05 11:22:18,IT
JIRA-0442,Ordinateur portable très lent au démarrage,Mon PC met plus de 10 minutes à démarrer complètement. Performances dégradées.,2025-06-05 11:22:18,Souscription
