feedback_id,client_id,date_feedback,motif_contact,canal,temps_attente,temps_resolution,note_globale,note_rapidite,note_competence,note_amabilite,probleme_resolu,commentaire
SVCLI-00001,CLI-22734,2025-05-01,Résiliation,Téléphone,< 2 min,< 24h,1,1,2,1,Non,Pas de rappel comme promis
SVCLI-00002,CLI-19257,2025-05-15,Modification de contrat,Agence,10-20 min,Immédiat,5,4,5,4,Oui,Conseiller très efficace et sympathique
SVCLI-00003,CLI-90977,2025-05-14,Question technique app/site,Application mobile,5-10 min,Immédiat,4,4,4,4,Oui,Conseiller compétent
SVCLI-00004,CLI-67214,2025-06-12,Suivi de dossier,Application mobile,10-20 min,> 7 jours,4,5,3,4,Oui,Prise en charge rapide
SVCLI-00005,CLI-90626,2025-06-26,Question sur contrat,Email,2-5 min,Immédiat,3,3,2,3,Partiellement,Information contradictoire
SVCLI-00006,CLI-89716,2025-10-15,Question sur contrat,Formulaire web,< 2 min,1-3 jours,5,5,5,4,Oui,Conseiller très efficace et sympathique
SVCLI-00007,CLI-40773,2025-07-26,Problème de paiement,Chat en ligne,< 2 min,Immédiat,3,3,4,3,Partiellement,Problème non résolu
SVCLI-00008,CLI-91665,2025-07-24,Renouvellement,Email,10-20 min,Immédiat,5,5,4,5,Oui,Professionnel et courtois
SVCLI-00009,CLI-73939,2025-07-17,Suivi de dossier,Chat en ligne,< 2 min,Immédiat,1,1,1,2,Non,Pas de rappel comme promis
SVCLI-00010,CLI-14546,2025-08-24,Réclamation,Chat en ligne,< 2 min,< 24h,1,2,1,1,Non,Réponse évasive
SVCLI-00011,CLI-21242,2025-09-16,Réclamation,Chat en ligne,5-10 min,< 24h,5,5,5,5,Oui,Prise en charge rapide
SVCLI-00012,CLI-66763,2025-08-10,Problème de paiement,Formulaire web,5-10 min,< 24h,3,2,4,3,Partiellement,Réponse évasive
SVCLI-00013,CLI-63468,2025-06-11,Question sur contrat,Chat en ligne,2-5 min,< 24h,4,4,4,4,Oui,Service de qualité
SVCLI-00014,CLI-42349,2025-10-08,Demande d'attestation,Email,2-5 min,> 7 jours,1,1,1,1,Non,Problème non résolu
SVCLI-00015,CLI-81951,2025-08-21,Modification de contrat,Agence,5-10 min,Immédiat,5,5,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00016,CLI-40471,2025-10-02,Question technique app/site,Email,5-10 min,Immédiat,1,1,1,1,Non,Réponse évasive
SVCLI-00017,CLI-92765,2025-07-12,Question sur contrat,Application mobile,> 20 min,< 24h,4,5,5,4,Oui,Prise en charge rapide
SVCLI-00018,CLI-73412,2025-06-22,Modification de contrat,Téléphone,5-10 min,Immédiat,3,2,4,3,Partiellement,Pas de rappel comme promis
SVCLI-00019,CLI-49916,2025-09-07,Demande de devis,Application mobile,< 2 min,> 7 jours,1,1,2,2,Non,Réponse évasive
SVCLI-00020,CLI-72917,2025-04-22,Résiliation,Chat en ligne,5-10 min,1-3 jours,4,5,3,4,Oui,Professionnel et courtois
SVCLI-00021,CLI-80055,2025-09-27,Résiliation,Formulaire web,< 2 min,Immédiat,4,5,5,4,Oui,Réponse rapide et précise
SVCLI-00022,CLI-85664,2025-09-06,Question sur contrat,Chat en ligne,< 2 min,> 7 jours,4,5,3,5,Oui,Disponibilité appréciée
SVCLI-00023,CLI-73734,2025-10-16,Question technique app/site,Application mobile,< 2 min,3-7 jours,5,5,5,5,Oui,Professionnel et courtois
SVCLI-00024,CLI-79136,2025-07-15,Résiliation,Agence,10-20 min,3-7 jours,4,4,4,3,Oui,Conseiller compétent
SVCLI-00025,CLI-59686,2025-05-13,Suivi de dossier,Formulaire web,5-10 min,Immédiat,2,3,1,3,Non,Conseiller pas assez informé
SVCLI-00026,CLI-51898,2025-08-09,Question technique app/site,Formulaire web,2-5 min,Immédiat,4,3,3,4,Oui,Conseiller très efficace et sympathique
SVCLI-00027,CLI-12567,2025-04-21,Réclamation,Email,10-20 min,> 7 jours,2,1,2,1,Non,Conseiller pas assez informé
SVCLI-00028,CLI-96636,2025-06-28,Demande de devis,Formulaire web,> 20 min,3-7 jours,4,3,5,5,Oui,Service de qualité
