feedback_id,client_id,date_feedback,version_app,fonctionnalite,type_feedback,note_globale,note_facilite,note_design,note_performance,commentaire
APPMOB-00001,CLI-41331,2025-05-09 11:22:18,iOS 2.4.1,Demande d'attestation,Appréciation positive,3,3,3,4,Interface claire et intuitive
APPMOB-00002,CLI-64888,2025-06-12 11:22:18,iOS 2.4.1,Suivi de remboursement,Appréciation positive,3,4,3,3,Facile à utiliser
APPMOB-00003,CLI-99328,2025-04-26 11:22:18,Android 2.4.1,Consultation de contrats,Appréciation positive,1,1,1,1,Interface claire et intuitive
APPMOB-00004,CLI-47871,2025-05-28 11:22:18,iOS 2.4.0,Paiement,Bug signalé,2,2,3,1,Problème de connexion récurrent
APPMOB-00005,CLI-60301,2025-06-25 11:22:18,iOS 2.4.1,Gestion de profil,Suggestion d'amélioration,4,5,4,3,Ajouter Touch ID/Face ID
APPMOB-00006,CLI-17960,2025-06-21 11:22:18,iOS 2.4.0,Simulation de devis,Bug signalé,4,4,5,3,Notifications qui ne s'affichent pas
APPMOB-00007,CLI-33827,2025-10-18 11:22:18,iOS 2.4.0,Suivi de remboursement,Suggestion d'amélioration,4,3,5,4,Améliorer l'ergonomie
APPMOB-00008,CLI-20994,2025-10-15 11:22:18,iOS 2.4.1,Paiement,Appréciation positive,5,4,5,5,Facile à utiliser
APPMOB-00009,CLI-44622,2025-04-25 11:22:18,iOS 2.4.1,Chat avec conseiller,Appréciation positive,3,4,3,3,Interface claire et intuitive
APPMOB-00010,CLI-59920,2025-07-03 11:22:18,Android 2.3.5,Espace documentaire,Suggestion d'amélioration,5,5,5,5,Ajouter mode sombre
APPMOB-00011,CLI-37044,2025-06-06 11:22:18,Android 2.4.0,Demande d'attestation,Difficulté d'utilisation,5,4,5,5,Trop complexe pour déclarer un sinistre
APPMOB-00012,CLI-27579,2025-09-27 11:22:18,iOS 2.4.1,Espace documentaire,Appréciation positive,3,4,2,2,Application très pratique
APPMOB-00013,CLI-15314,2025-06-29 11:22:18,Android 2.4.1,Simulation de devis,Difficulté d'utilisation,2,1,2,2,Trop complexe pour déclarer un sinistre
