feedback_id,client_id,date_feedback,nps_score,categorie,profil_client,nb_contrats,a_eu_sinistre,a_contacte_service_client,utilise_app_mobile,commentaire
NPS-00001,CLI-53912,2025-07-01,3,Détracteur,Client depuis 3-5 ans,3 contrats,Oui,Non,Oui,Tarifs trop élevés
NPS-00002,CLI-29451,2025-09-21,7,Passif,Client depuis < 1 an,4+ contrats,Non,Non,Non,Pas de problème majeur
NPS-00003,CLI-18723,2025-08-11,9,Promoteur,Client depuis 3-5 ans,2 contrats,Non,Oui,Non,Conseiller toujours disponible et efficace
NPS-00004,CLI-77560,2025-07-17,9,Promoteur,Client depuis < 1 an,1 contrat,Non,Non,Non,Service client irréprochable
NPS-00005,CLI-37009,2025-05-11,7,Passif,Client depuis 5-10 ans,3 contrats,Non,Non,Oui,Service correct mais améliorable
NPS-00006,CLI-56753,2025-06-18,2,Détracteur,Client depuis 1-3 ans,4+ contrats,Oui,Oui,Oui,Tarifs trop élevés
NPS-00007,CLI-23489,2025-09-22,4,Détracteur,Client depuis 3-5 ans,2 contrats,Non,Oui,Oui,Trop de complications administratives
NPS-00008,CLI-11180,2025-08-29,10,Promoteur,Client depuis 5-10 ans,2 contrats,Oui,Oui,Non,Excellent rapport qualité/prix
NPS-00009,CLI-65965,2025-09-19,1,Détracteur,Client depuis 5-10 ans,2 contrats,Oui,Oui,Non,Tarifs trop élevés
NPS-00010,CLI-72916,2025-07-05,5,Détracteur,Client depuis 5-10 ans,4+ contrats,Non,Non,Non,Remboursements insuffisants
NPS-00011,CLI-76376,2025-06-12,8,Passif,Client depuis 1-3 ans,2 contrats,Oui,Oui,Oui,Service correct mais améliorable
NPS-00012,CLI-14445,2025-05-12,8,Passif,Client depuis < 1 an,4+ contrats,Non,Non,Non,Prix corrects mais pas les meilleurs
NPS-00013,CLI-41354,2025-09-15,6,Détracteur,Client depuis 5-10 ans,1 contrat,Oui,Oui,Non,Tarifs trop élevés
NPS-00014,CLI-28350,2025-05-18,9,Promoteur,Client depuis > 10 ans,3 contrats,Oui,Non,Non,Confiance totale
NPS-00015,CLI-29260,2025-05-05,8,Passif,Client depuis 1-3 ans,4+ contrats,Oui,Oui,Non,Pas de problème majeur
NPS-00016,CLI-52098,2025-09-18,9,Promoteur,Client depuis 1-3 ans,2 contrats,Oui,Oui,Non,Confiance totale
NPS-00017,CLI-20329,2025-05-31,6,Détracteur,Client depuis 3-5 ans,1 contrat,Oui,Non,Oui,Trop de complications administratives
NPS-00018,CLI-87225,2025-09-24,5,Détracteur,Client depuis 5-10 ans,2 contrats,Non,Oui,Non,Service client décevant
NPS-00019,CLI-28493,2025-08-14,6,Détracteur,Client depuis 1-3 ans,3 contrats,Oui,Non,Oui,Tarifs trop élevés
NPS-00020,CLI-52510,2025-07-02,1,Détracteur,Client depuis 1-3 ans,4+ contrats,Oui,Non,Non,Manque de transparence
NPS-00021,CLI-60578,2025-05-27,9,Promoteur,Client depuis 1-3 ans,2 contrats,Oui,Oui,Oui,Service client irréprochable
NPS-00022,CLI-75210,2025-06-18,10,Promoteur,Client depuis 5-10 ans,1 contrat,Non,Oui,Oui,Remboursements rapides et sans souci
NPS-00023,CLI-53708,2025-09-12,10,Promoteur,Client depuis 5-10 ans,2 contrats,Oui,Non,Oui,Conseiller toujours disponible et efficace
NPS-00024,CLI-77527,2025-07-05,8,Passif,Client depuis > 10 ans,4+ contrats,Non,Oui,Oui,Service correct mais améliorable
NPS-00025,CLI-42932,2025-06-27,10,Promoteur,Client depuis 3-5 ans,2 contrats,Oui,Non,Oui,Excellent rapport qualité/prix
NPS-00026,CLI-37203,2025-04-23,10,Promoteur,Client depuis 5-10 ans,4+ contrats,Oui,Oui,Oui,Excellent rapport qualité/prix
NPS-00027,CLI-41467,2025-05-22,8,Passif,Client depuis > 10 ans,1 contrat,Non,Oui,Oui,Pas de problème majeur
NPS-00028,CLI-26230,2025-07-29,5,Détracteur,Client depuis 5-10 ans,2 contrats,Non,Oui,Non,Service client décevant
NPS-00029,CLI-10476,2025-07-02,1,Détracteur,Client depuis 3-5 ans,2 contrats,Oui,Non,Non,Service client décevant
NPS-00030,CLI-46310,2025-06-07,8,Passif,Client depuis 1-3 ans,1 contrat,Non,Oui,Non,Pas de problème majeur
NPS-00031,CLI-21270,2025-09-08,2,Détracteur,Client depuis 3-5 ans,4+ contrats,Oui,Non,Oui,Remboursements insuffisants
NPS-00032,CLI-34995,2025-06-01,10,Promoteur,Client depuis 1-3 ans,3 contrats,Oui,Non,Oui,Remboursements rapides et sans souci
NPS-00033,CLI-77636,2025-07-20,3,Détracteur,Client depuis 5-10 ans,3 contrats,Oui,Non,Oui,Remboursements insuffisants
NPS-00034,CLI-89962,2025-08-26,4,Détracteur,Client depuis 5-10 ans,1 contrat,Oui,Oui,Non,Remboursements insuffisants
NPS-00035,CLI-85199,2025-09-01,4,Détracteur,Client depuis > 10 ans,4+ contrats,Oui,Oui,Non,Trop de complications administratives
NPS-00036,CLI-72922,2025-08-11,6,Détracteur,Client depuis 1-3 ans,2 contrats,Oui,Non,Oui,Tarifs trop élevés
NPS-00037,CLI-90769,2025-06-22,7,Passif,Client depuis > 10 ans,2 contrats,Non,Non,Non,Pas de problème majeur
NPS-00038,CLI-45114,2025-05-31,9,Promoteur,Client depuis 1-3 ans,2 contrats,Non,Oui,Non,Conseiller toujours disponible et efficace
NPS-00039,CLI-89592,2025-07-14,9,Promoteur,Client depuis 5-10 ans,3 contrats,Non,Oui,Non,Conseiller toujours disponible et efficace
NPS-00040,CLI-33644,2025-08-04,10,Promoteur,Client depuis > 10 ans,3 contrats,Oui,Oui,Non,Remboursements rapides et sans souci
NPS-00041,CLI-63298,2025-08-10,10,Promoteur,Client depuis < 1 an,2 contrats,Non,Oui,Oui,Excellent rapport qualité/prix
NPS-00042,CLI-48473,2025-06-20,9,Promoteur,Client depuis 1-3 ans,1 contrat,Non,Non,Non,Confiance totale
NPS-00043,CLI-24405,2025-05-02,4,Détracteur,Client depuis 3-5 ans,1 contrat,Oui,Non,Non,Service client décevant
NPS-00044,CLI-48800,2025-07-20,4,Détracteur,Client depuis 5-10 ans,1 contrat,Non,Non,Non,Trop de complications administratives
NPS-00045,CLI-17753,2025-06-22,10,Promoteur,Client depuis 1-3 ans,1 contrat,Oui,Oui,Non,Service client irréprochable
NPS-00046,CLI-18934,2025-09-13,2,Détracteur,Client depuis 5-10 ans,4+ contrats,Non,Non,Oui,Trop de complications administratives
NPS-00047,CLI-70910,2025-10-07,10,Promoteur,Client depuis < 1 an,4+ contrats,Oui,Non,Non,Confiance totale
