feedback_id,client_id,date_feedback,agence,motif_visite,avec_rendez_vous,temps_attente,note_globale,note_accueil,note_competence_conseiller,note_proprete_locaux,note_accessibilite,reviendrait,commentaire
AGENCE-00001,CLI-27583,2025-06-03,Diekirch,Rendez-vous conseiller,Oui,> 30 min,5,5,5,4,4,Oui,Conseiller très professionnel
AGENCE-00002,CLI-56407,2025-09-05,Differdange,Résiliation,Oui,> 30 min,5,5,5,5,4,Oui,Conseiller très professionnel
AGENCE-00003,CLI-99173,2025-06-11,Diekirch,Question/conseil,Oui,15-30 min,4,4,5,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00004,CLI-92084,2025-10-08,Esch-sur-Alzette,Modification de contrat,Oui,15-30 min,4,4,4,4,4,Oui,Conseiller très professionnel
AGENCE-00005,CLI-37982,2025-04-24,Remich,Demande d'information,Oui,> 30 min,4,5,5,4,3,Oui,Agence bien située et accueillante
AGENCE-00006,CLI-37194,2025-08-17,Grevenmacher,Souscription nouveau contrat,Oui,15-30 min,5,5,5,5,5,Oui,Accueil chaleureux
AGENCE-00007,CLI-83335,2025-09-17,Luxembourg-Centre,Demande d'information,Non,> 30 min,4,5,3,4,4,Oui,Conseiller très professionnel
AGENCE-00008,CLI-72110,2025-06-28,Luxembourg-Gare,Rendez-vous conseiller,Oui,> 30 min,4,5,3,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00009,CLI-84162,2025-06-27,Esch-sur-Alzette,Rendez-vous conseiller,Oui,5-10 min,4,3,5,4,4,Oui,Accueil chaleureux
AGENCE-00010,CLI-69505,2025-07-06,Luxembourg-Centre,Question/conseil,Oui,15-30 min,3,3,4,2,3,Peut-être,Horaires d'ouverture contraignants
AGENCE-00011,CLI-40205,2025-05-02,Luxembourg-Gare,Retrait de documents,Non,> 30 min,5,5,4,5,4,Oui,Agence bien située et accueillante
AGENCE-00012,CLI-39330,2025-08-31,Luxembourg-Gare,Souscription nouveau contrat,Oui,> 30 min,5,4,4,4,4,Oui,Accueil chaleureux
AGENCE-00013,CLI-14236,2025-07-14,Grevenmacher,Retrait de documents,Oui,< 5 min,4,4,5,3,4,Oui,Conseiller très professionnel
AGENCE-00014,CLI-53726,2025-09-01,Esch-sur-Alzette,Modification de contrat,Oui,15-30 min,4,3,4,3,4,Oui,Personnel compétent et à l'écoute
AGENCE-00015,CLI-91575,2025-08-26,Dudelange,Retrait de documents,Non,10-15 min,5,5,4,5,4,Oui,"Pas d'attente, service rapide"
AGENCE-00016,CLI-89998,2025-06-04,Differdange,Question/conseil,Non,< 5 min,1,1,2,1,1,Non,Conseiller pressé
AGENCE-00017,CLI-78949,2025-10-14,Remich,Modification de contrat,Oui,15-30 min,4,4,3,4,3,Oui,Agence bien située et accueillante
AGENCE-00018,CLI-44489,2025-09-02,Esch-sur-Alzette,Déclaration sinistre,Non,> 30 min,2,1,2,2,1,Non,Parking difficile
AGENCE-00019,CLI-67040,2025-09-30,Esch-sur-Alzette,Souscription nouveau contrat,Oui,15-30 min,2,2,1,1,2,Non,Temps d'attente excessif
AGENCE-00020,CLI-95731,2025-04-29,Diekirch,Déclaration sinistre,Non,< 5 min,5,4,5,5,4,Oui,Agence bien située et accueillante
AGENCE-00021,CLI-11713,2025-06-19,Grevenmacher,Résiliation,Oui,< 5 min,5,4,5,4,4,Oui,Accueil chaleureux
AGENCE-00022,CLI-93095,2025-06-19,Dudelange,Paiement,Non,15-30 min,4,4,3,4,3,Oui,Conseiller très professionnel
AGENCE-00023,CLI-78348,2025-06-30,Diekirch,Question/conseil,Oui,> 30 min,5,5,5,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00024,CLI-23344,2025-04-30,Dudelange,Rendez-vous conseiller,Oui,< 5 min,1,1,2,1,1,Non,Conseiller pressé
AGENCE-00025,CLI-88535,2025-07-10,Remich,Résiliation,Oui,15-30 min,4,4,3,3,4,Oui,Personnel compétent et à l'écoute
AGENCE-00026,CLI-43750,2025-09-17,Wiltz,Rendez-vous conseiller,Non,> 30 min,5,5,5,5,5,Oui,Accueil chaleureux
AGENCE-00027,CLI-41123,2025-09-11,Diekirch,Paiement,Oui,> 30 min,5,4,5,5,5,Oui,Accueil chaleureux
AGENCE-00028,CLI-91915,2025-08-31,Ettelbruck,Souscription nouveau contrat,Oui,> 30 min,2,2,1,2,2,Non,Conseiller pressé
AGENCE-00029,CLI-14778,2025-07-16,Grevenmacher,Question/conseil,Oui,5-10 min,5,4,5,4,5,Oui,"Pas d'attente, service rapide"
AGENCE-00030,CLI-77233,2025-06-13,Grevenmacher,Souscription nouveau contrat,Non,> 30 min,4,4,4,3,3,Oui,Agence bien située et accueillante
AGENCE-00031,CLI-32722,2025-10-15,Luxembourg-Centre,Question/conseil,Oui,< 5 min,5,5,4,4,5,Oui,Agence bien située et accueillante
AGENCE-00032,CLI-34352,2025-08-21,Luxembourg-Centre,Souscription nouveau contrat,Oui,10-15 min,3,4,3,2,2,Peut-être,Conseiller pressé
AGENCE-00033,CLI-92719,2025-06-29,Dudelange,Modification de contrat,Non,15-30 min,4,5,3,3,4,Oui,"Pas d'attente, service rapide"
AGENCE-00034,CLI-29886,2025-08-14,Grevenmacher,Retrait de documents,Oui,5-10 min,2,2,1,1,2,Non,Parking difficile
