feedback_id,client_id,date_feedback,type_contrat,canal,note_globale,clarte_informations,facilite_processus,temps_traitement,qualite_accompagnement,rapport_qualite_prix,commentaire,recommanderait
SOUSCR-00001,CLI-70100,2025-07-14,Santé - Famille,Courtier,3,2,4,4,2,2,Prix plus élevé que la concurrence,Peut-être
SOUSCR-00002,CLI-43004,2025-06-12,Habitation - Locataire,Téléphone,4,5,5,3,5,4,Souscription en ligne très intuitive,Oui
SOUSCR-00003,CLI-21919,2025-09-05,Assurance emprunteur,En ligne,3,3,2,3,2,2,Pas assez d'explications sur les exclusions,Peut-être
SOUSCR-00004,CLI-79327,2025-05-17,Auto - Intermédiaire,Application mobile,4,3,5,4,5,3,Simplicité du parcours digital,Oui
SOUSCR-00005,CLI-73372,2025-10-12,Auto - Tous risques,En ligne,4,3,4,5,4,3,Documentation claire et complète,Oui
SOUSCR-00006,CLI-25984,2025-05-24,Assurance emprunteur,Agence,4,5,3,4,3,5,Conseiller très professionnel et à l'écoute,Oui
SOUSCR-00007,CLI-75060,2025-09-19,Auto - Intermédiaire,Agence,3,2,2,2,4,4,Difficultés techniques sur le site web,Peut-être
SOUSCR-00008,CLI-39445,2025-04-24,Responsabilité civile,Téléphone,3,2,2,3,3,4,Attente téléphonique trop longue,Peut-être
SOUSCR-00009,CLI-49986,2025-05-17,Santé - Famille,Application mobile,5,5,5,4,4,5,Prix compétitif,Oui
SOUSCR-00010,CLI-36649,2025-09-06,Assurance emprunteur,Application mobile,4,4,3,4,3,4,Je recommande vivement,Oui
SOUSCR-00011,CLI-74628,2025-07-25,Vie - Épargne,Application mobile,3,4,4,3,4,3,Prix plus élevé que la concurrence,Peut-être
SOUSCR-00012,CLI-17888,2025-08-26,Vie - Épargne,Application mobile,5,5,4,4,5,5,Souscription en ligne très intuitive,Oui
SOUSCR-00013,CLI-67152,2025-06-17,Santé - Famille,Application mobile,5,5,5,5,5,5,Excellent accueil en agence,Oui
SOUSCR-00014,CLI-12493,2025-10-07,Vie - Épargne,Téléphone,4,5,5,4,4,4,Conseiller patient et pédagogue,Oui
SOUSCR-00015,CLI-55583,2025-07-25,Vie - Décès,Courtier,3,2,4,2,3,3,Délai de traitement du dossier trop long,Peut-être
SOUSCR-00016,CLI-85016,2025-05-08,Vie - Épargne,Téléphone,4,5,5,4,5,5,Je recommande vivement,Oui
SOUSCR-00017,CLI-75759,2025-08-25,Auto - Au tiers,Courtier,2,3,3,1,2,1,Attente téléphonique trop longue,Non
SOUSCR-00018,CLI-57196,2025-07-18,Santé - Sénior,Téléphone,4,5,5,3,4,3,Excellent accueil en agence,Oui
SOUSCR-00019,CLI-42724,2025-08-30,Auto - Intermédiaire,Agence,5,4,4,5,5,5,Excellent accueil en agence,Oui
SOUSCR-00020,CLI-78147,2025-04-29,Santé - Individuelle,Téléphone,3,3,4,4,4,2,Formulaire en ligne compliqué,Peut-être
SOUSCR-00021,CLI-63914,2025-06-29,Auto - Tous risques,En ligne,3,3,4,3,4,3,Conseiller peu disponible,Peut-être
